2026-06-26 11:27:43,674 | CRITICAL | 🚨 THREAT DETECTED | DANGEROUS PORT | Source: 10.0.0.99 | Attempt on Telnet port 23
2026-06-26 12:46:56,607 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,619 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:56,621 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,623 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:56,625 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,627 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:56,629 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,634 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:56,645 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,647 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,648 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,650 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,653 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,662 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,665 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:56,687 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:56,689 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,695 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,696 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,699 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,705 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,775 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,777 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,780 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:56,782 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48872 | Rule: Default policy
2026-06-26 12:46:56,783 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,785 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,787 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,789 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,800 | INFO | ALLOW  | TCP   | 192.168.25.128:48872 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,802 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,804 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,806 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:56,807 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,809 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:56,833 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,839 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,848 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:56,909 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,911 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:56,914 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,917 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:56,956 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:56,958 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,960 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:56,962 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,964 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,966 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:57,012 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:57,019 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:57,020 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:57,021 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
